file,lines,line_span,classification,reason
"src/app/api/ambiguous-time/[id]/resolve/route.ts","41","1-41","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/approvals/[id]/approve/route.test.ts","147","1-147","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/approvals/[id]/approve/route.ts","140","1-140","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (discord, telegram); refactor for Gmail+Google Calendar+Slack."
"src/app/api/approvals/[id]/deny/route.test.ts","221","1-221","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (discord); refactor for Gmail+Google Calendar+Slack."
"src/app/api/approvals/[id]/deny/route.ts","196","1-196","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (discord, telegram); refactor for Gmail+Google Calendar+Slack."
"src/app/api/approvals/[id]/route.test.ts","66","1-66","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/approvals/[id]/route.ts","41","1-41","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/approvals/route.test.ts","74","1-74","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/approvals/route.ts","62","1-62","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/calendar/sync/reconcile/route.ts","184","1-184","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor for Gmail+Google Calendar+Slack."
"src/app/api/chat/route.ts","150","1-150","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/chat/validation.ts","33","1-33","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/context/attention/route.ts","20","1-20","DEFER_POST_MVP","Attention context API depends on deferred memory/search features."
"src/app/api/conversations/[id]/messages/route.ts","83","1-83","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/conversations/route.ts","26","1-26","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/drafts/[id]/route.ts","126","1-126","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/drafts/[id]/send/route.ts","103","1-103","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/drafts/route.ts","48","1-48","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/drafts/schedule-send/execute/route.ts","84","1-84","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/auth-url/route.test.ts","60","1-60","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/auth-url/route.ts","96","1-96","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/callback/route.test.ts","41","1-41","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/callback/route.ts","15","1-15","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/watch/renew/route.test.ts","59","1-59","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/watch/renew/route.ts","85","1-85","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/webhook/route.test.ts","113","1-113","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/calendar/webhook/route.ts","179","1-179","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/contacts/route.ts","24","1-24","DEFER_POST_MVP","Google contacts enrichment can be deferred for launch."
"src/app/api/google/linking/auth-url/route.test.ts","49","1-49","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/linking/auth-url/route.ts","61","1-61","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/linking/callback/route.test.ts","146","1-146","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/linking/callback/route.ts","420","1-420","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/watch/renew/route.test.ts","44","1-44","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/watch/renew/route.ts","54","1-54","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/process-history-item.test.ts","301","1-301","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/process-history-item.ts","79","1-79","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/process-history.test.ts","136","1-136","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/process-history.ts","401","1-401","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/process-label-removed-event.test.ts","236","1-236","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/process-label-removed-event.ts","219","1-219","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/route.test.ts","66","1-66","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/route.ts","98","1-98","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/google/webhook/types.ts","26","1-26","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/health/liveness/route.ts","9","1-9","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/health/route.ts","48","1-48","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/integrations/status/route.test.ts","78","1-78","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/integrations/status/route.ts","30","1-30","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/jobs/cleanup-scheduling-reasons/route.ts","36","1-36","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/jobs/memory-decay/route.ts","52","1-52","DEFER_POST_MVP","Memory lifecycle jobs can be deferred for MVP."
"src/app/api/jobs/memory-lifecycle/route.ts","33","1-33","DEFER_POST_MVP","Memory lifecycle jobs can be deferred for MVP."
"src/app/api/jobs/process-embeddings/route.ts","55","1-55","DEFER_POST_MVP","Embedding pipeline can be deferred for MVP."
"src/app/api/jobs/process-search-index/route.ts","141","1-141","DEFER_POST_MVP","Search indexing jobs can be deferred with unified search prune."
"src/app/api/jobs/record-memory/route.ts","775","1-775","DEFER_POST_MVP","Memory recording pipeline can be deferred for MVP."
"src/app/api/jobs/scheduled-draft-sends/route.ts","197","1-197","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/memory/export/route.ts","88","1-88","DEFER_POST_MVP","Memory APIs are optional and can be deferred for MVP."
"src/app/api/memory/forget/route.ts","143","1-143","DEFER_POST_MVP","Memory APIs are optional and can be deferred for MVP."
"src/app/api/memory/recall/route.ts","40","1-40","DEFER_POST_MVP","Memory APIs are optional and can be deferred for MVP."
"src/app/api/notifications/[id]/read/route.test.ts","71","1-71","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/[id]/read/route.ts","66","1-66","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/fallback/route.test.ts","97","1-97","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/fallback/route.ts","102","1-102","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/read-all/route.test.ts","44","1-44","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/read-all/route.ts","50","1-50","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/route.test.ts","44","1-44","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/route.ts","31","1-31","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/unread-count/route.test.ts","39","1-39","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/unread-count/route.ts","41","1-41","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/privacy/clear/route.ts","19","1-19","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/privacy/route.ts","35","1-35","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/rule-plane/[id]/route.ts","112","1-112","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/rule-plane/compile/route.ts","54","1-54","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/rule-plane/route.ts","127","1-127","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/schedule-proposal/[id]/resolve/route.ts","50","1-50","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/scheduled-actions/execute/route.test.ts","93","1-93","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/scheduled-actions/execute/route.ts","80","1-80","KEEP_MVP_CORE","Aligned with Gmail+Google Calendar+Slack conversational secretary MVP core."
"src/app/api/search/unified/route.ts","221","1-221","PRUNE_MVP","Unified search API is outside provider-first MVP path."
"src/app/api/slack/callback/route.ts","171","1-171","KEEP_MVP_CORE","Slack API surface is MVP-critical."
"src/app/api/slack/disconnect/route.ts","28","1-28","KEEP_MVP_CORE","Slack API surface is MVP-critical."
"src/app/api/slack/install-url/route.ts","54","1-54","KEEP_MVP_CORE","Slack API surface is MVP-critical."
"src/app/api/surfaces/actions/route.test.ts","159","1-159","KEEP_REFACTOR_MVP","Surface transport API is needed for Slack MVP but includes generic/non-Slack handling; refactor to Slack-focused path."
"src/app/api/surfaces/actions/route.ts","207","1-207","KEEP_REFACTOR_MVP","Surface transport API is needed for Slack MVP but includes generic/non-Slack handling; refactor to Slack-focused path."
"src/app/api/surfaces/identity/route.test.ts","112","1-112","KEEP_REFACTOR_MVP","Surface transport API is needed for Slack MVP but includes generic/non-Slack handling; refactor to Slack-focused path."
"src/app/api/surfaces/identity/route.ts","64","1-64","KEEP_REFACTOR_MVP","Surface transport API is needed for Slack MVP but includes generic/non-Slack handling; refactor to Slack-focused path."
