file,lines,line_span,classification,reason
"src/app/api/notifications/[id]/read/route.test.ts","71","1-71","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/[id]/read/route.ts","66","1-66","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/fallback/route.test.ts","97","1-97","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/fallback/route.ts","102","1-102","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/read-all/route.test.ts","44","1-44","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/read-all/route.ts","50","1-50","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/route.test.ts","44","1-44","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/route.ts","31","1-31","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/unread-count/route.test.ts","39","1-39","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/unread-count/route.ts","41","1-41","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/search/unified/route.ts","221","1-221","PRUNE_MVP","Unified search API is outside provider-first MVP path."
"src/app/api/tasks/triage/action/route.ts","79","1-79","PRUNE_MVP","Task triage APIs are outside MVP scope."
"src/app/api/tasks/triage/audit/route.ts","24","1-24","PRUNE_MVP","Task triage APIs are outside MVP scope."
"src/app/api/tasks/triage/route.ts","39","1-39","PRUNE_MVP","Task triage APIs are outside MVP scope."
"src/server/features/assistant-email/README.md","12","1-12","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/assistant-email/is-assistant-email.test.ts","85","1-85","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/assistant-email/is-assistant-email.ts","36","1-36","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/assistant-email/process-assistant-email.ts","289","1-289","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/calendar/providers/microsoft-availability.test.ts","263","1-263","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/providers/microsoft-availability.ts","122","1-122","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/providers/microsoft-events.ts","292","1-292","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/providers/microsoft.ts","204","1-204","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/sync/microsoft.ts","218","1-218","PRUNE_MVP","Outlook calendar sync path outside Google Calendar MVP."
"src/server/features/categorize/README.md","12","1-12","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/ai-categorize-senders.ts","202","1-202","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/ai-categorize-single-sender.ts","103","1-103","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/format-categories.ts","10","1-10","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/heuristics.ts","93","1-93","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/senders/categorize.ts","196","1-196","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/email/providers/microsoft.ts","2059","1-2059","PRUNE_MVP","Outlook email provider implementation outside Gmail-only MVP."
"src/server/features/follow-up/README.md","11","1-11","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/cleanup.test.ts","167","1-167","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/cleanup.ts","114","1-114","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/generate-draft.test.ts","287","1-287","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/generate-draft.ts","150","1-150","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/labels.test.ts","320","1-320","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/labels.ts","150","1-150","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/groups/README.md","11","1-11","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-newsletters.test.ts","43","1-43","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-newsletters.ts","42","1-42","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-receipts.test.ts","65","1-65","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-receipts.ts","160","1-160","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/find-matching-group.test.ts","157","1-157","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/find-matching-group.ts","99","1-99","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/group-item.ts","34","1-34","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/knowledge/README.md","11","1-11","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/extract-from-email-history.ts","191","1-191","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/extract.ts","120","1-120","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/persona.ts","145","1-145","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/writing-style.ts","108","1-108","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/meeting-briefs/README.md","12","1-12","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/ai/generate-briefing.test.ts","174","1-174","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/ai/generate-briefing.ts","298","1-298","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/fetch-upcoming-events.ts","65","1-65","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/gather-context.ts","261","1-261","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/process.ts","328","1-328","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/recipient-context.test.ts","495","1-495","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/recipient-context.ts","241","1-241","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/notifications/README.md","169","1-169","PRUNE_MVP","Notification subsystem can be removed for chat-first MVP launch."
"src/server/features/notifications/create.test.ts","78","1-78","PRUNE_MVP","Notification subsystem can be removed for chat-first MVP launch."
"src/server/features/notifications/create.ts","95","1-95","PRUNE_MVP","Notification subsystem can be removed for chat-first MVP launch."
"src/server/features/notifications/generator.test.ts","91","1-91","PRUNE_MVP","Notification subsystem can be removed for chat-first MVP launch."
"src/server/features/notifications/generator.ts","113","1-113","PRUNE_MVP","Notification subsystem can be removed for chat-first MVP launch."
"src/server/features/referrals/README.md","7","1-7","PRUNE_MVP","Referral growth feature outside MVP scope."
