file,lines,line_span,domain,action,rationale
"src/ARCHITECTURE_MAP.md","74","1-74","meta","KEEP_UNCHANGED","Documentation/reference"
"src/README.md","31","1-31","meta","KEEP_UNCHANGED","Documentation/reference"
"src/app/accounts/page.tsx","19","1-19","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/ambiguous-time/[id]/resolve/route.ts","41","1-41","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/[id]/approve/route.test.ts","147","1-147","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/[id]/approve/route.ts","140","1-140","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/[id]/deny/route.test.ts","221","1-221","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/[id]/deny/route.ts","196","1-196","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/[id]/route.test.ts","66","1-66","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/[id]/route.ts","41","1-41","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/route.test.ts","74","1-74","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/approvals/route.ts","62","1-62","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/calendar/sync/reconcile/route.ts","184","1-184","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/chat/route.ts","150","1-150","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/chat/validation.ts","33","1-33","entrypoints","MODIFY_V2_WIRING","Route requests to Secretary Runtime v2"
"src/app/api/context/attention/route.ts","20","1-20","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/conversations/[id]/messages/route.ts","83","1-83","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/conversations/route.ts","26","1-26","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/drafts/[id]/route.ts","126","1-126","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/drafts/[id]/send/route.ts","103","1-103","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/drafts/route.ts","48","1-48","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/drafts/schedule-send/execute/route.ts","84","1-84","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/auth-url/route.test.ts","60","1-60","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/auth-url/route.ts","96","1-96","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/callback/route.test.ts","41","1-41","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/callback/route.ts","15","1-15","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/watch/renew/route.test.ts","59","1-59","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/watch/renew/route.ts","85","1-85","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/webhook/route.test.ts","113","1-113","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/calendar/webhook/route.ts","179","1-179","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/contacts/route.ts","24","1-24","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/linking/auth-url/route.test.ts","49","1-49","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/linking/auth-url/route.ts","61","1-61","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/linking/callback/route.test.ts","146","1-146","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/linking/callback/route.ts","420","1-420","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/watch/renew/route.test.ts","44","1-44","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/watch/renew/route.ts","54","1-54","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/process-history-item.test.ts","301","1-301","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/process-history-item.ts","79","1-79","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/process-history.test.ts","136","1-136","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/process-history.ts","401","1-401","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/process-label-removed-event.test.ts","236","1-236","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/process-label-removed-event.ts","219","1-219","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/route.test.ts","66","1-66","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/route.ts","98","1-98","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/google/webhook/types.ts","26","1-26","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/health/liveness/route.ts","9","1-9","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/health/route.ts","48","1-48","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/integrations/status/route.test.ts","78","1-78","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
"src/app/api/integrations/status/route.ts","30","1-30","frontend","KEEP_UNCHANGED","UI/route surface unaffected by runtime core"
